Food,Glycemic Index
Apricot,34
Avocado,10
Agave (syrup),15
Quince (canned / jelly without sugar),40
Quince (fresh fruit),35
Cherry plum,25
Amaranth seeds (unprepared),35
Pineapple Juice (unsweetened),50
Orange (fresh fruit),35
Orange juice (freshly squeezed and sugar free),45
Peanut,15
Peanuts (Dry Roasted),15
Peanut Butter (Sugar Free),25
Peanut Oil (Sugar Free),40
Artichoke,20
Acerola, Barbados Cherry (fresh),20
Basil,5
Eggplant,20
Eggplant Caviar,40
Balsamic vinegar,5
Banana,48
Dessert Banana (Green),45
Platano (raw),45
Bananas (Dried),48
Mutton (Lamb),0
Boiled lamb,0
Muesli Bar, Gluten Free,50
White corn, sweet corn, frozen corn,55
White almond paste / puree (without sweeteners),35
White beans,35
White beans (boiled),33
White chocolate,44
Buckwheat pancakes,40
Soybeans,15
Beans, fava (raw),40
Broccoli,15
Broccoli (cooked),45
Brussels sprouts (fresh),15
Bulgur,55
Vanilla,5
Durum wheat vermicelli,35
Soy vermicelli,30
Ham, sliced, sausages,0
Grapes, green (raw),45
Grapes, red (raw),45
Grape Juice (unsweetened),45
Cherry (sweet, fresh),25
Beef (steak, etc.),0
Boiled lean beef,0
Boiled beef tongue,0
Beef brains,0
Roast beef liver,50
Blueberry,25
Peas (green, fresh),35
Peas (frozen, boiled),51
Green peas (canned),45
Green peas,15
Mustard (with sugar),55
Dijon mustard,35
Pomegranate (fresh),35
Grapefruit,22
Canned Grapefruit,47
Pomelo, sheddock (fresh),25
Grapefruit juice (unsweetened),45
Walnuts,15
Buckwheat,50
Mushrooms,15
Mushrooms (cooked),36
Pear (fresh fruit),30
Melon pear (pepino),40
Canned pears,55
Pears (dried),43
Goose fat,0
Goose,0
Jam,51
Wild rice,45
Yeast,35
Brewer's yeast,35
Blackberry (fresh berry),25
Yellow gooseberry,15
Acorns,25
Fat (animal / vegetable),0
Grains (sprouted),15
Coffee beans,50
Energy bar (sugar free),50
Cereals, whole (sugar free),45
Ginger,15
Turkey,0
Turkey (boiled),0
Fig (fresh),35
Fig (dried),50
Yogurt,35
Yogurt 1.5% natural,35
Sweet yogurt,52
Soy yogurt (natural),20
Fruit yogurt,52
Fat-free yogurt,33
Squash,15
Cocoa Powder (Sugar Free),20
Kamut, Egyptian Wheat (cooked),40
Capellini (pasta),45
Capers,20
White cabbage,15
Brussels sprouts,15
Sauerkraut,15
Cauliflower,15
Buckwheat porridge,40
Pine nuts,15
Ketchup,55
Kefir (1% fat),31
Kefir (regular),36
Kefir low-fat,25
Cashew nuts,25
Cashew nuts (salted),22
Kiwi,50
Quinoa (unprepared),40
Quinoa (cooked),35
Chinese noodles,35
Maple syrup,55
Strawberries (fresh berries),25
Strawberry Jam (Low Sugar),51
Cranberries (fresh),45
Cranberry Juice (unsweetened),50
Goat milk,24
Coconut,45
Coconut milk (raw),40
Coconut Sugar,35
Cooked sausage,34
Kohlrabi,20
Hemp seed (peeled),4
Chocolate candy with sweeteners,23
Cinnamon,5
Pickled Cucumber,15
Pork cutlets,50
Red caviar,0
Rabbit,0
Rabbit (fried),0
Barley groats,25
Fresh corn,35
Sesame,35
Sesame paste, tahini,40
Sesame seed,35
Dried apricots,35
Boiled chicken breast,0
Chicken,0
Chicken (fried),0
Carob (carob powder),15
Lasagna,47
Instant noodles,52
Orache,53
Linen,35
Hazelnuts,25
Lemon (Fresh Fruit),20
Lemon juice (unsweetened),20
Lettuce (fresh),15
Lychee (fresh fruit),50
Lotus (root powder),33
Onion (fresh),15
Leek,15
Shallot,15
Peeled peas (fresh),25
Flaxseed,35
Lupine,15
Mayonnaise (homemade),0
Whole Wheat Pasta,40
Pasta,50
Pasta (from durum wheat),50
Buckwheat Pasta,40
Macaroons, Coconut Flour,32
Poppy seed,35
Raspberries (fresh berries),25
Mandarin,30
Tangerine (canned),47
Cassava (bitter, sweet),55
Passion fruit,30
Margarine,0
Marmalade (sugar free),30
Black olives,15
Butter,0
Mung Bean Mung,25
Almond,15
Almond paste (sugar free),35
Almond oil,25
Almond milk,30
Milk,31
Coconut Milk,40
Natural milk,32
Skim milk,27
Soya milk,30
Chocolate milk,34
Skim milk,31
Whole milk,34
Milk chocolate,49
Seafood (oysters, shrimp, mussels, etc.),0
Carrot Juice (unsweetened),40
Carrot (fresh),30
Ice cream (with fructose),35
Soya milk ice cream,35
Ice cream (skim, vanilla),46
Cloudberry (fresh berries),25
Buckwheat flour,40
Kamut flour,45
Quinoa flour,40
Spelled flour,45
Chickpea flour,35
Whole grain rye flour,45
Soya flour,25
Medlar japanese plum,55
Muesli (sugar free),50
Palm pulp,20
Nectarine (fresh fruit),35
Chickpeas,10
Chickpeas (canned),35
Skim cheese,30
Sea buckthorn,30
Vegetable soup,40
Oat flour,25
Cucumber,15
Dill pickles,15
Plain / Spotted Beans (Fresh),35
Olives,15
Olive oil,0
Omelette,49
Prickly pear (fresh fruit),35
Oregano,5
Walnut,15
Hazelnut,15
Pine nuts,15
Cashew nuts,15
Nuts (mix with raisins),21
Bran (wheat, oat),15
Wholemeal Pasta,50
Whole grain pasta made by al dente,40
Chinese cabbage,20
Pepino, melon pear,40
Sweet pepper,15
Chilli,15
Chilli Green (Fresh),15
Perlovka,25
Peach (canned in syrup),55
Peach (fresh fruit),35
Dried Peaches,35
Shortbread Cookies (Integral Flour, Sugar Free),40
Pesto (sauce),15
Motley beans, borlotti, roman beans,35
Parsley,15
Parsley (cooked),52
Cookies (whole grain flour, sugar free),50
Butter cookies (flour, butter, sugar),55
Oatmeal cookies,55
Multi Grain Cookies,51
Banana pie,47
Plantano (Raw),45
Sunflower (seeds),35
